ID,Query,Category,Response,Timestamp,User Type
45,What does 'Out for delivery' mean?,Order Tracking,"Yes, your order is confirmed! You will receive an update shortly.",2024-06-02 01:33:19.338212,Returning
46,Where is my order?,Order Tracking,We apologize for the delay. There might be high demand or bad weather.,2024-03-27 07:55:59.338212,New
47,What does 'Out for delivery' mean?,Order Tracking,We apologize for the delay. There might be high demand or bad weather.,2024-09-01 00:33:14.338212,Returning
48,What time will my order arrive?,Order Tracking,'Out for delivery' means the rider has picked up your order and is en route.,2024-09-19 11:27:44.338212,Returning
49,Is my order confirmed?,Order Tracking,Sorry for the inconvenience. Please contact support for a refund or replacement.,2024-04-06 02:59:18.338212,New
50,"I didn’t receive my food, what should I do?",Order Tracking,Your delivery is on the way! You can track it live in the app.,2024-09-17 14:11:17.338212,Returning
51,How long will my delivery take?,Order Tracking,'Out for delivery' means the rider has picked up your order and is en route.,2024-11-24 20:52:04.338212,New
52,What does 'Out for delivery' mean?,Order Tracking,Your order is currently being prepared and will be dispatched soon.,2024-10-15 22:15:13.338212,Returning
53,Can I change my delivery address?,Order Tracking,Live tracking is available in the 'Track Order' section.,2025-02-05 09:03:57.338212,Returning
54,Can I change my delivery address?,Order Tracking,'Out for delivery' means the rider has picked up your order and is en route.,2024-04-28 21:27:55.338212,New
55,"I didn’t receive my food, what should I do?",Order Tracking,'Out for delivery' means the rider has picked up your order and is en route.,2024-03-03 12:26:21.338212,New
56,What does 'Out for delivery' mean?,Order Tracking,Your order will arrive within the estimated time displayed in the app.,2024-04-19 10:24:25.338212,New
57,Can I change my delivery address?,Order Tracking,"Yes, your order is confirmed! You will receive an update shortly.",2024-05-06 23:19:06.338212,New
58,How long will my delivery take?,Order Tracking,Sorry for the inconvenience. Please contact support for a refund or replacement.,2024-06-04 08:13:02.338212,New
59,Why is my order delayed?,Order Tracking,Your order is currently being prepared and will be dispatched soon.,2024-06-09 02:33:03.338212,New
60,Can I change my delivery address?,Order Tracking,Your order is currently being prepared and will be dispatched soon.,2024-04-24 04:33:26.338212,Returning
61,Can I track my order live?,Order Tracking,Live tracking is available in the 'Track Order' section.,2024-11-06 08:39:14.338212,Returning
62,What time will my order arrive?,Order Tracking,Sorry for the inconvenience. Please contact support for a refund or replacement.,2024-07-23 02:41:48.338212,Returning
63,How long will my delivery take?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-05-23 06:31:09.338212,Returning
64,Where is my order?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-09-24 07:38:40.338212,Returning
65,What time will my order arrive?,Order Tracking,Your order is currently being prepared and will be dispatched soon.,2024-10-16 08:38:31.338212,New
66,Can I track my order live?,Order Tracking,'Out for delivery' means the rider has picked up your order and is en route.,2024-10-23 02:19:26.338212,Returning
67,What time will my order arrive?,Order Tracking,"Yes, your order is confirmed! You will receive an update shortly.",2024-10-25 13:34:30.338212,New
68,Can I track my order live?,Order Tracking,Live tracking is available in the 'Track Order' section.,2024-10-11 03:47:59.338212,Returning
69,Can I change my delivery address?,Order Tracking,'Out for delivery' means the rider has picked up your order and is en route.,2024-06-04 05:32:12.338212,New
70,How long will my delivery take?,Order Tracking,Your delivery is on the way! You can track it live in the app.,2024-05-11 12:41:43.338212,Returning
71,"I didn’t receive my food, what should I do?",Order Tracking,Your order is currently being prepared and will be dispatched soon.,2024-07-14 14:21:59.338212,New
72,Why is my order delayed?,Order Tracking,Your order is currently being prepared and will be dispatched soon.,2024-06-16 17:19:33.338212,Returning
73,Can I change my delivery address?,Order Tracking,"Yes, your order is confirmed! You will receive an update shortly.",2024-10-06 18:38:55.338212,Returning
74,Is my order confirmed?,Order Tracking,Your delivery is on the way! You can track it live in the app.,2025-02-24 13:05:48.338212,New
75,Is my order confirmed?,Order Tracking,"Yes, your order is confirmed! You will receive an update shortly.",2024-12-25 10:15:41.338212,New
76,Where is my order?,Order Tracking,Your order will arrive within the estimated time displayed in the app.,2024-07-29 14:20:39.338212,Returning
77,How long will my delivery take?,Order Tracking,Sorry for the inconvenience. Please contact support for a refund or replacement.,2024-10-18 16:52:49.338212,New
78,Can I change my delivery address?,Order Tracking,Your delivery is on the way! You can track it live in the app.,2024-04-24 20:29:19.338212,Returning
79,Why is my order delayed?,Order Tracking,Live tracking is available in the 'Track Order' section.,2024-08-08 08:07:20.338212,New
80,How long will my delivery take?,Order Tracking,Live tracking is available in the 'Track Order' section.,2024-04-21 22:07:04.338212,Returning
81,What does 'Out for delivery' mean?,Order Tracking,'Out for delivery' means the rider has picked up your order and is en route.,2024-12-06 09:57:50.338212,New
82,What does 'Out for delivery' mean?,Order Tracking,We apologize for the delay. There might be high demand or bad weather.,2024-10-22 17:31:34.338212,New
83,What does 'Out for delivery' mean?,Order Tracking,We apologize for the delay. There might be high demand or bad weather.,2024-10-18 16:08:06.338212,New
84,What does 'Out for delivery' mean?,Order Tracking,Live tracking is available in the 'Track Order' section.,2025-01-14 07:26:18.338212,New
85,Why is my order delayed?,Order Tracking,We apologize for the delay. There might be high demand or bad weather.,2024-12-03 17:36:30.338212,Returning
86,Can I track my order live?,Order Tracking,Your order will arrive within the estimated time displayed in the app.,2024-07-03 19:30:06.338212,Returning
87,Is my order confirmed?,Order Tracking,Live tracking is available in the 'Track Order' section.,2025-02-20 18:08:30.338212,New
88,Can I track my order live?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-07-24 22:26:56.338212,Returning
89,Where is my order?,Order Tracking,Live tracking is available in the 'Track Order' section.,2024-08-07 10:31:00.338212,Returning
90,What does 'Out for delivery' mean?,Order Tracking,Your order is currently being prepared and will be dispatched soon.,2025-02-10 20:26:46.338212,Returning
91,What does 'Out for delivery' mean?,Order Tracking,Sorry for the inconvenience. Please contact support for a refund or replacement.,2024-10-05 16:01:56.338212,New
92,Where is my order?,Order Tracking,Your order is currently being prepared and will be dispatched soon.,2024-05-01 22:24:02.338212,New
93,"I didn’t receive my food, what should I do?",Order Tracking,Your delivery is on the way! You can track it live in the app.,2024-10-03 19:53:14.338212,Returning
94,What time will my order arrive?,Order Tracking,Your order will arrive within the estimated time displayed in the app.,2024-05-07 05:31:43.338212,Returning
95,Why is my order delayed?,Order Tracking,We apologize for the delay. There might be high demand or bad weather.,2024-09-29 13:14:22.338212,Returning
96,Can I track my order live?,Order Tracking,Your order will arrive within the estimated time displayed in the app.,2024-08-14 12:27:44.338212,New
97,Where is my order?,Order Tracking,'Out for delivery' means the rider has picked up your order and is en route.,2024-07-25 01:59:40.338212,Returning
98,Can I change my delivery address?,Order Tracking,Your delivery is on the way! You can track it live in the app.,2025-01-18 09:37:25.338212,Returning
99,Why is my order delayed?,Order Tracking,We apologize for the delay. There might be high demand or bad weather.,2024-03-26 21:04:09.338212,New
100,What does 'Out for delivery' mean?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-03-05 14:38:13.338212,Returning
101,Why is my order delayed?,Order Tracking,Your order will arrive within the estimated time displayed in the app.,2024-11-11 00:10:47.338212,Returning
102,Why is my order delayed?,Order Tracking,Your delivery is on the way! You can track it live in the app.,2024-05-27 19:14:23.338212,Returning
103,"I didn’t receive my food, what should I do?",Order Tracking,Your order is currently being prepared and will be dispatched soon.,2024-03-09 21:48:42.338212,New
104,What does 'Out for delivery' mean?,Order Tracking,We apologize for the delay. There might be high demand or bad weather.,2024-10-27 19:19:51.338212,New
105,What time will my order arrive?,Order Tracking,We apologize for the delay. There might be high demand or bad weather.,2024-08-06 02:23:42.338212,Returning
106,What does 'Out for delivery' mean?,Order Tracking,Your delivery is on the way! You can track it live in the app.,2024-11-05 16:19:02.338212,Returning
107,What time will my order arrive?,Order Tracking,Your order will arrive within the estimated time displayed in the app.,2025-02-23 01:17:22.338212,New
108,Where is my order?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-10-16 21:11:34.338212,New
109,How long will my delivery take?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-05-08 17:26:30.338212,Returning
110,"I didn’t receive my food, what should I do?",Order Tracking,Your order will arrive within the estimated time displayed in the app.,2025-02-18 09:42:45.338212,Returning
111,What time will my order arrive?,Order Tracking,Live tracking is available in the 'Track Order' section.,2024-05-06 07:53:07.338212,New
112,Is my order confirmed?,Order Tracking,Live tracking is available in the 'Track Order' section.,2024-03-28 22:18:33.338212,Returning
113,How long will my delivery take?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-07-03 12:35:46.338212,Returning
114,What time will my order arrive?,Order Tracking,Your order is currently being prepared and will be dispatched soon.,2024-04-07 01:37:45.338212,New
115,Can I change my delivery address?,Order Tracking,"Yes, your order is confirmed! You will receive an update shortly.",2024-04-15 19:02:29.338212,Returning
116,What does 'Out for delivery' mean?,Order Tracking,Sorry for the inconvenience. Please contact support for a refund or replacement.,2025-02-17 05:36:44.338212,New
117,"I didn’t receive my food, what should I do?",Order Tracking,'Out for delivery' means the rider has picked up your order and is en route.,2024-09-25 22:46:31.338212,New
118,Where is my order?,Order Tracking,Live tracking is available in the 'Track Order' section.,2024-03-22 05:37:02.338212,Returning
119,Is my order confirmed?,Order Tracking,Sorry for the inconvenience. Please contact support for a refund or replacement.,2024-07-19 00:15:12.338212,Returning
120,Can I change my delivery address?,Order Tracking,Sorry for the inconvenience. Please contact support for a refund or replacement.,2024-11-15 11:52:49.338212,Returning
121,How long will my delivery take?,Order Tracking,Your order will arrive within the estimated time displayed in the app.,2024-04-30 09:45:08.338212,New
122,How long will my delivery take?,Order Tracking,Sorry for the inconvenience. Please contact support for a refund or replacement.,2024-10-29 18:52:33.338212,Returning
123,Why is my order delayed?,Order Tracking,We apologize for the delay. There might be high demand or bad weather.,2024-07-25 14:12:18.338212,Returning
124,"I didn’t receive my food, what should I do?",Order Tracking,We apologize for the delay. There might be high demand or bad weather.,2024-12-23 19:05:43.338212,Returning
125,"I didn’t receive my food, what should I do?",Order Tracking,We apologize for the delay. There might be high demand or bad weather.,2024-09-09 10:39:42.338212,New
126,Is my order confirmed?,Order Tracking,Live tracking is available in the 'Track Order' section.,2024-03-16 22:57:37.338212,New
127,What time will my order arrive?,Order Tracking,Your order is currently being prepared and will be dispatched soon.,2024-11-28 12:44:47.338212,Returning
128,How long will my delivery take?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-09-30 15:42:33.338212,New
129,"I didn’t receive my food, what should I do?",Order Tracking,Live tracking is available in the 'Track Order' section.,2025-02-26 20:20:01.338212,New
130,Why is my order delayed?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-07-27 09:52:02.338212,Returning
131,How long will my delivery take?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-11-02 06:27:14.338212,New
132,Can I change my delivery address?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-10-06 09:32:19.338212,Returning
133,How long will my delivery take?,Order Tracking,Your order will arrive within the estimated time displayed in the app.,2024-10-09 07:59:48.338212,Returning
134,Can I track my order live?,Order Tracking,Sorry for the inconvenience. Please contact support for a refund or replacement.,2024-10-04 19:49:22.338212,Returning
135,Can I change my delivery address?,Order Tracking,Live tracking is available in the 'Track Order' section.,2024-03-18 04:31:18.338212,New
136,Can I change my delivery address?,Order Tracking,'Out for delivery' means the rider has picked up your order and is en route.,2025-01-13 09:03:09.338212,New
137,Can I track my order live?,Order Tracking,'Out for delivery' means the rider has picked up your order and is en route.,2025-02-23 02:45:28.338212,Returning
138,"I didn’t receive my food, what should I do?",Order Tracking,We apologize for the delay. There might be high demand or bad weather.,2024-06-18 07:18:31.338212,New
139,Where is my order?,Order Tracking,Your delivery is on the way! You can track it live in the app.,2024-04-07 10:35:40.338212,New
140,"I didn’t receive my food, what should I do?",Order Tracking,"Yes, your order is confirmed! You will receive an update shortly.",2025-01-17 18:20:16.338212,Returning
141,Where is my order?,Order Tracking,"Yes, your order is confirmed! You will receive an update shortly.",2024-06-27 10:50:37.338212,Returning
142,Can I change my delivery address?,Order Tracking,We apologize for the delay. There might be high demand or bad weather.,2025-01-02 00:39:38.338212,New
143,Is my order confirmed?,Order Tracking,Sorry for the inconvenience. Please contact support for a refund or replacement.,2024-06-14 21:24:06.338212,Returning
144,How long will my delivery take?,Order Tracking,'Out for delivery' means the rider has picked up your order and is en route.,2024-06-01 21:44:14.338212,Returning
145,Is my order confirmed?,Order Tracking,Your delivery is on the way! You can track it live in the app.,2024-04-16 15:25:18.338212,New
146,Can I track my order live?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-05-16 17:14:14.338212,New
147,Can I change my delivery address?,Order Tracking,Live tracking is available in the 'Track Order' section.,2024-10-02 06:14:33.338212,Returning
148,What does 'Out for delivery' mean?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-10-23 17:42:58.338212,New
149,How long will my delivery take?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-05-27 10:21:58.338212,Returning
150,How long will my delivery take?,Order Tracking,Sorry for the inconvenience. Please contact support for a refund or replacement.,2024-09-22 09:27:52.338212,Returning
151,Can I change my delivery address?,Order Tracking,"Yes, your order is confirmed! You will receive an update shortly.",2024-09-25 15:12:27.338212,New
152,"I didn’t receive my food, what should I do?",Order Tracking,Your delivery is on the way! You can track it live in the app.,2024-04-02 21:10:08.338212,Returning
153,What time will my order arrive?,Order Tracking,We apologize for the delay. There might be high demand or bad weather.,2024-09-14 05:36:03.338212,Returning
154,Why is my order delayed?,Order Tracking,"Yes, your order is confirmed! You will receive an update shortly.",2024-05-27 04:23:03.338212,New
155,What does 'Out for delivery' mean?,Order Tracking,Your order is currently being prepared and will be dispatched soon.,2024-11-07 09:31:32.338212,New
156,Can I change my delivery address?,Order Tracking,"Yes, your order is confirmed! You will receive an update shortly.",2025-02-07 08:30:44.338212,New
157,Can I track my order live?,Order Tracking,We apologize for the delay. There might be high demand or bad weather.,2024-03-07 23:14:02.338212,Returning
158,What does 'Out for delivery' mean?,Order Tracking,Your delivery is on the way! You can track it live in the app.,2024-03-10 20:21:44.338212,Returning
159,What time will my order arrive?,Order Tracking,Your order is currently being prepared and will be dispatched soon.,2024-11-17 06:43:32.338212,New
160,"I didn’t receive my food, what should I do?",Order Tracking,Your order is currently being prepared and will be dispatched soon.,2024-12-21 02:20:13.338212,New
161,Where is my order?,Order Tracking,Sorry for the inconvenience. Please contact support for a refund or replacement.,2024-05-25 01:10:44.338212,Returning
162,Why is my order delayed?,Order Tracking,Sorry for the inconvenience. Please contact support for a refund or replacement.,2025-02-11 18:49:07.338212,Returning
163,Can I track my order live?,Order Tracking,Sorry for the inconvenience. Please contact support for a refund or replacement.,2024-08-06 19:28:28.338212,New
164,How long will my delivery take?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-08-28 11:02:09.338212,Returning
165,Why is my order delayed?,Order Tracking,Sorry for the inconvenience. Please contact support for a refund or replacement.,2024-05-13 21:28:58.338212,Returning
166,How long will my delivery take?,Order Tracking,Your order is currently being prepared and will be dispatched soon.,2024-10-21 04:07:21.338212,Returning
167,Is my order confirmed?,Order Tracking,'Out for delivery' means the rider has picked up your order and is en route.,2024-07-31 01:45:12.338212,New
168,Where is my order?,Order Tracking,Live tracking is available in the 'Track Order' section.,2024-09-26 07:36:49.338212,Returning
169,Where is my order?,Order Tracking,Your order will arrive within the estimated time displayed in the app.,2024-08-01 08:48:21.338212,Returning
170,Why is my order delayed?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-05-10 07:40:21.338212,Returning
171,Can I track my order live?,Order Tracking,We apologize for the delay. There might be high demand or bad weather.,2024-06-19 02:49:22.338212,Returning
172,Is my order confirmed?,Order Tracking,Your order is currently being prepared and will be dispatched soon.,2024-12-25 05:52:58.338212,Returning
173,Where is my order?,Order Tracking,Your order is currently being prepared and will be dispatched soon.,2025-01-12 10:34:30.338212,New
174,Can I track my order live?,Order Tracking,"Yes, your order is confirmed! You will receive an update shortly.",2024-05-14 18:21:20.338212,Returning
175,How long will my delivery take?,Order Tracking,Sorry for the inconvenience. Please contact support for a refund or replacement.,2024-07-30 09:11:05.338212,Returning
176,"I didn’t receive my food, what should I do?",Order Tracking,'Out for delivery' means the rider has picked up your order and is en route.,2024-07-13 07:07:02.338212,Returning
177,What time will my order arrive?,Order Tracking,We apologize for the delay. There might be high demand or bad weather.,2025-02-21 14:58:41.338212,New
178,What does 'Out for delivery' mean?,Order Tracking,Your delivery is on the way! You can track it live in the app.,2024-09-14 17:23:14.338212,New
179,Where is my order?,Order Tracking,Your delivery is on the way! You can track it live in the app.,2025-02-20 23:44:33.338212,Returning
180,Can I change my delivery address?,Order Tracking,Your order is currently being prepared and will be dispatched soon.,2024-07-26 11:14:38.338212,New
181,What does 'Out for delivery' mean?,Order Tracking,Your delivery is on the way! You can track it live in the app.,2024-08-23 04:48:55.338212,New
182,Why is my order delayed?,Order Tracking,We apologize for the delay. There might be high demand or bad weather.,2024-02-27 21:53:54.338212,Returning
183,"I didn’t receive my food, what should I do?",Order Tracking,"Yes, your order is confirmed! You will receive an update shortly.",2024-03-17 06:37:22.338212,Returning
184,What time will my order arrive?,Order Tracking,Your order is currently being prepared and will be dispatched soon.,2024-09-22 08:13:22.338212,New
185,How long will my delivery take?,Order Tracking,'Out for delivery' means the rider has picked up your order and is en route.,2024-07-10 14:41:01.338212,Returning
186,Can I track my order live?,Order Tracking,"Yes, your order is confirmed! You will receive an update shortly.",2024-07-19 02:05:48.338212,New
187,Is my order confirmed?,Order Tracking,Your order is currently being prepared and will be dispatched soon.,2024-07-02 12:24:12.338212,Returning
188,Can I track my order live?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-11-07 08:40:29.338212,Returning
189,How long will my delivery take?,Order Tracking,Sorry for the inconvenience. Please contact support for a refund or replacement.,2024-12-20 17:37:21.338212,Returning
190,Why is my order delayed?,Order Tracking,Your order will arrive within the estimated time displayed in the app.,2025-01-22 10:25:48.338212,New
191,What time will my order arrive?,Order Tracking,"Yes, your order is confirmed! You will receive an update shortly.",2024-06-23 09:39:43.338212,New
192,How long will my delivery take?,Order Tracking,Your order is currently being prepared and will be dispatched soon.,2024-06-10 07:38:44.338212,New
193,Where is my order?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-03-12 01:34:11.338212,New
194,Where is my order?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-12-10 04:50:51.338212,Returning
195,Is my order confirmed?,Order Tracking,"Yes, your order is confirmed! You will receive an update shortly.",2024-04-03 08:32:37.338212,New
196,Is my order confirmed?,Order Tracking,'Out for delivery' means the rider has picked up your order and is en route.,2024-04-18 03:30:46.338212,New
197,Can I change my delivery address?,Order Tracking,Your order will arrive within the estimated time displayed in the app.,2025-02-09 22:54:30.338212,New
198,Can I track my order live?,Order Tracking,Your delivery is on the way! You can track it live in the app.,2025-02-14 20:22:12.338212,New
199,"I didn’t receive my food, what should I do?",Order Tracking,Your delivery is on the way! You can track it live in the app.,2024-11-27 22:57:47.338212,New
200,Where is my order?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-06-02 20:25:24.338212,New
201,Where is my order?,Order Tracking,Your delivery is on the way! You can track it live in the app.,2024-03-11 13:22:41.338212,New
202,How long will my delivery take?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-11-20 22:21:53.338212,New
203,Why is my order delayed?,Order Tracking,Live tracking is available in the 'Track Order' section.,2024-06-27 04:05:02.338212,Returning
204,What time will my order arrive?,Order Tracking,Your delivery is on the way! You can track it live in the app.,2024-11-10 00:48:47.338212,New
205,Can I track my order live?,Order Tracking,"Yes, your order is confirmed! You will receive an update shortly.",2024-07-13 01:42:56.338212,New
206,Where is my order?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2025-02-13 16:51:15.338212,Returning
207,Can I track my order live?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-09-19 01:27:54.338212,Returning
208,What time will my order arrive?,Order Tracking,Sorry for the inconvenience. Please contact support for a refund or replacement.,2024-04-09 00:07:36.338212,Returning
209,Can I change my delivery address?,Order Tracking,We apologize for the delay. There might be high demand or bad weather.,2025-01-03 09:20:12.338212,Returning
210,Why is my order delayed?,Order Tracking,We apologize for the delay. There might be high demand or bad weather.,2025-02-09 19:03:13.338212,New
211,Can I change my delivery address?,Order Tracking,Your order will arrive within the estimated time displayed in the app.,2025-01-17 16:13:09.338212,New
212,What time will my order arrive?,Order Tracking,Your order is currently being prepared and will be dispatched soon.,2025-01-08 02:26:26.338212,New
213,What time will my order arrive?,Order Tracking,Your order is currently being prepared and will be dispatched soon.,2025-01-03 06:30:37.338212,Returning
214,Can I track my order live?,Order Tracking,Sorry for the inconvenience. Please contact support for a refund or replacement.,2024-06-25 00:00:48.338212,New
215,What does 'Out for delivery' mean?,Order Tracking,Your order is currently being prepared and will be dispatched soon.,2024-05-17 13:37:11.338212,Returning
216,Why is my order delayed?,Order Tracking,Your delivery is on the way! You can track it live in the app.,2024-07-03 03:09:04.338212,New
217,Where is my order?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-03-06 11:22:34.338212,New
218,How long will my delivery take?,Order Tracking,'Out for delivery' means the rider has picked up your order and is en route.,2024-04-19 01:12:12.338212,New
219,"I didn’t receive my food, what should I do?",Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-05-31 04:47:30.338212,New
220,"I didn’t receive my food, what should I do?",Order Tracking,Your order will arrive within the estimated time displayed in the app.,2025-02-09 00:42:40.338212,New
221,What time will my order arrive?,Order Tracking,'Out for delivery' means the rider has picked up your order and is en route.,2024-03-30 04:49:01.338212,New
222,What does 'Out for delivery' mean?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-11-26 09:51:09.338212,New
223,"I didn’t receive my food, what should I do?",Order Tracking,Your order will arrive within the estimated time displayed in the app.,2024-07-10 20:22:03.338212,Returning
224,Why is my order delayed?,Order Tracking,Your order will arrive within the estimated time displayed in the app.,2024-12-02 22:52:39.338212,New
225,What does 'Out for delivery' mean?,Order Tracking,Your delivery is on the way! You can track it live in the app.,2024-10-07 12:06:40.338212,New
226,How long will my delivery take?,Order Tracking,Your order will arrive within the estimated time displayed in the app.,2024-12-13 19:50:36.338212,Returning
227,How long will my delivery take?,Order Tracking,Your delivery is on the way! You can track it live in the app.,2024-05-09 10:34:01.338212,Returning
228,What does 'Out for delivery' mean?,Order Tracking,'Out for delivery' means the rider has picked up your order and is en route.,2024-08-26 03:09:11.338212,New
